題號,題目,選擇A,選擇B,選擇C,選擇D,答案,圖片
23,香港供電三相電壓為：,220V,246V,200V,380V,D,
24,電壓的單位是：,伏特,安培,歐姆,瓦特,A,
25,電力公司公佈其低壓供電系統的電壓，不會超過其標稱電壓的：,±2.5%,±4%,±6%,±10%,C,
26,交流電的低電壓是指一般高於特低電壓，但在各導體之間的電壓不超過多少伏特？,600V,900V,1000V,1500V,C,
27,直流電的低電壓是指一般高於特低電壓，但在各導體之間的電壓不超過多少伏特？,600V,900V,1000V,1500V,D,
28,交流電的低電壓是指一般高於特低電壓，但在各導體與大地之間的電壓不超過多少伏特？,600V,900V,1000V,1500V,A,
29,直流電的低電壓是指一般高於特低電壓，但在各導體與大地之間的電壓不超過多少伏特？,600V,900V,1000V,1500V,B,
30,右圖中A電壓為多少伏特:,138伏特,346伏特,380伏特,415伏特,A,Q30.png
31,一般交流電，如沒有特別標明，其電壓或電流值都是：,有效值,平均值,峰值,瞬時值,A,
32,交流電電壓220V根均方值(r.m.s)即指：,平均值為100V,永不升越220V,有效值為220V,其週波乃方形,C,
33,香港供電系統所容許之電壓降最多為：,0.02,0.025,0.04,0.06,C,
34,並聯電路的總電壓等於該電路內：,各負載之端電壓,所有電壓降之和,所有電壓降之差,所有電壓降之商,A,
35,串聯電路的總電壓等於該電路內：,各負載之端電壓,所有電壓降之和,所有電壓降之差,所有電壓降之商,B,
36,高壓輸電的優點是降低輸電電線的：,電流,電壓,電量,電功率,A,
37,新界地區之超高壓電纜的電壓是多少？,275KV,400KV,132KV,33KV,B,
38,港島地區之超高壓電纜的電壓是多少？,275KV,400KV,132KV,33KV,A,
39,香港現時之一般配電電壓是：,"200/400V,50Hz","220/346V,50Hz","220/380V,50Hz","200/346V,50Hz",C,
40,香港現時的高壓架空輸電線的最高電壓是：,66KV,132KV,275KV,400KV,D,
41,公眾易接觸到的照明裝置需要：,由三相346V供電,由單相220V供電,由30V直流電供電,由110V之安全絕緣變壓器供電,D,
42,工廠及工業經營(電力)規例，下列那一項是合符「低壓電」之定義範圍？,指各導體之間電壓不超過1000伏特交流電,指各導體之間電壓不超過1200伏特交流電,"高於「特低電壓」,但各導體之間電壓不超過1000伏特交流電","高於「特低電壓」,但各導體之間電壓不超過1200伏特交流電",C,
43,根據英國電機工程師學會佈線裝置規例(十六版)，超低電壓是？,不超過50伏特(交流)或120伏特(直流),50伏特至100伏特之間(交流),100伏特至200伏特之間(交流),120伏特至200伏特之間(交流),A,
44,吊扇盒只能用於以下那種電壓之上？,220V,380V,415V,500V,A,
45,一般電鐘，電鬚刨供電位在電力負荷的計算上可視作：,10W,20W,50W,不予計算,D,
46,在一純電感的交流電路上，流經電感器之電流比電壓：,超前90°,滯後90°,超前180°,滯後180°,B,
47,在一純電容的交流電路上，流經電容器之電流比電壓：,超前90°,滯後90°,超前180°,滯後180°,A,
48,選擇電纜粗幼，取決於：,電壓降,電流負荷及電壓降,載流量,用戶,B,
49,電纜長50M，保護熔絲為30A，若其電壓降為5mV/A/M，負載電流為25A，求總電壓降：,2.5伏特,5伏特,6.25伏特,7.5伏特,C,
50,上升總線線槽內，每樓層應安裝：,防水堤,隔火障,抽氣扇,指示牌,B,
51,多少層的樓宇(包括地下)須要安裝上升總線：,2,3,4,5,C,
52,決定屋內配線導體大小因素為：,電壓降、施工方法,安全電流、電壓降,建築條例、安全電流,安全電流、消防條例,B,
53,在垂直安裝的線槽內，放置防熱隔板的最長距離，不可超過：,1m,3m,5m,9m,C,
54,接駁上升總線與分支保護裝置的分支線長度不可超過：,1m,2m,3m,5m,C,
55,在垂直安裝的線槽內，應在每隔多少公尺距離上加上線夾或電線支柱？,3m,4m,5m,6m,C,
56,在大廈總掣附近應裝有：,總掣主要配件的廠名及規格,主要配電系統的電路圖,「危險請勿接近」的字句,「非熟練人員不准接近」的字句,B,
57,根據《中華電力有限公司》規定，在有上升總線設備之多層樓宇內，電錶的位置通常設在：,大廈入口處,每戶總開關之前1m處,每戶之屋內,每層樓接近上升總線之分支處,D,
58,根據《中華電力有限公司》規定，用戶電錶及電力公司上升總線之間：,必須裝有適當的熔斷器,必須裝有適當的開關及隔離器,必須裝有適當的警告字句,無須任何裝置,B,
59,安裝大廈上升總線時，必須同時安裝：,警鐘導線,上升接地導線,上升公共天線,公共電話導線,B,
60,電力公司規定用作上升總線接地的銅導線，截面積應不得少過：,16mm²,35mm²,50mm²,70mm²,D,
61,上升總線鋁接地導線的截面最少：,35mm²,50mm²,70mm²,150mm²,D,
62,在三相四線供電系統中，上升總線之中性線必須：,大於相導線,不可少於相導線,等於相導線的一半,視環境而定,B,
63,設在多層大廈的上升匯流排，應有適當安排以用作：,匯流排之移動,保護匯流排防止浸蝕,匯流排之膨脹或收縮,保護匯流排以免受雷電干擾,C,
64,影響匯流排接駁位接觸面電阻的主要因素是：,接觸面的狀況,所施的壓力,接觸面的絕緣材料,所施的電壓,A,
65,根據電力公司規定，三相裝置之每一插座及配電箱應永久髹上適當的：,容量數值,相位顏色,插座型號,安裝日期,B,
66,電掣房發生電力故障時，緊急照明最少維持多少分鐘？,30分鐘,60分鐘,90分鐘,二小時,A,
67,一個額定值不超逾100A的低壓開關前面的工作空間最少為：,600mm,800mm,900mm,1000mm,A,
68,根據《香港電燈有限公司》規定，用戶在公眾地方安裝電錶板時，錶底部離地面不能少於：,800mm,1350mm,1600mm,1850mm,C,
69,根據《香港電燈有限公司》規定，用戶在電錶房或電掣櫃安裝電錶板，錶板頂部離地面不能少於多少毫米？,1200,550,900,750,C,
70,根據《中華電力有限公司》規定，用戶電錶板安裝的位置，其離地面不能超過：,1250mm,1640mm,2000mm,2200mm,C,
71,根據《香港電燈有限公司》規定，用戶電錶板安裝的位置，其離地面不能超過：,1250mm,1640mm,2000mm,2200mm,D,
72,下列那一項並非電力公司批准使用之上升總線系統：,單膠絕緣導線裝於電錶房等範圍內,有適當支撐的金屬外殼類電纜及礦物絕緣電纜,單膠絕緣導線以線夾裝於線槽或線管內,以鐵槽將裸導體完全封閉,A,
73,大廈總掣與電力公司之間的總開關應為：,絕緣,防水,抽出,隱藏,C,
74,根據《中華電力有限公司》規定，裝設在建築地盤內的160A或以下電錶箱必須防風雨及離地面高度不少於：,1250mm,1350mm,1450mm,1550mm,B,
75,根據電力公司規定，電錶之快慢若不超過下列的數值仍可當準確論：,快2.5%，慢2.5%,快3.5%，慢3.5%,快2.5%，慢3.5%,快3.5%，慢2.5%,C,
76,在熔斷器式配電箱內的電路圖，其用途是：,提供負荷的資料,提供過流保護裝置的資料,總負荷的資料,提供每一熔斷器所保護的線路的資料,D,
77,若接地環路阻抗過高，應用甚麼作接地故障保護：,小型斷路器,電流式漏電斷路器,電壓式漏電斷路器,真空式斷路器,B,
78,微型斷路器(MCB)過載時，利用什麼原理把電流中斷：,電力,電子力,氣動力,磁動力或熱片,D,
79,那一項不適合作接地故障保護？,熔斷器,電流式漏電斷路器,斷路器,電壓式漏電斷路器,D,
80,"供應220V,3.3KW的線路，其過流保護的熔絲額定值為：",10A,15A,20A,30A,B,
81,俗稱「水氣掣」的電路安全裝置的正確名稱是？,電路過荷器,漏電斷路器,電路安全掣,MCB,B,
82,住宅內的手提電熱器不能用於下列地方：,房,露台,車房,浴室,D,
83,固定裝置如出現過載，有關器件應在多久時間內切斷電源：,0.1s,0.45s,4s,5s,D,
84,固定電力裝置電路的保護器件在發生接地故障時，應在甚麼時間內切斷電源？,5秒,0.5秒,0.4秒,30毫秒,A,
85,過流保護裝置除了可切斷過載電流外，還可切斷什麼電流？,短路,漏電,滿載,起動,A,
86,微型斷路器(MCB)上所刻的「M6」標誌是代表甚麼？,過流量大於60A,在短路時斷流容量是6KA,斷路器特性是第六類,斷路器的本身編號,B,
87,在單相交流電路中，熔斷器的正確安裝方法是：,裝於中性線上,裝於相線上,同時裝於中線及相線上,裝於保護導線上,B,
88,在單相交流電路中，熔斷器與其他電器的連接方法是：,串聯連接,並聯連接,沒有任何連接,串聯並聯都可以,A,
89,在三相四線的交流電路中，熔斷器的正確安裝方法是：,裝於任何一相上,裝於任何兩相上,裝於三相上,裝於四條線上,C,
90,单相供電系統中，單極開關掣應接駁電路之：,相線上,保護導線上,中性線上,相線和中性線上,A,
91,BS3036熔斷器用作過流保護時的校正因數是：,0.333,0.5,0.725,1.333,C,
92,半封閉式熔斷器之英國標準是：,BS88,BS3036,BS1363,BS148,B,
93,小型斷路器之英國標準是：,BS88,BS3036,BS1361,BS3871,D,
94,高斷流量的全封閉熔斷器之英國標準是：,BS88,BS3036,BS1361,BS3871,A,
95,線路保護裝置的啟動電流不能超過線路任何導體最低載流量的：,1倍,1.45倍,2.5倍,6倍,B,
96,配電箱中所選用的MCB，其額定值應為負載電流的多少倍：,0.725,1,1.45,1.732,B,
97,「過流」是形容「過載電流」及：,諧波電流,熔斷電流,接地故障電流,短路電流,D,
98,防止過大電流通過，應用：,保護熔絲,加大線徑,雙重絕緣,減短電線長度,A,
99,電路的過流保護可用以下那個方法提供：,開關器,小型斷路器,等電位接駁,漏電保護器,B,
100,斷路器比熔斷器較優勝的原因之一是：,容易安裝,可作短路及過載保護,美觀,其「開」、「關」位置容易察看,D,
101,一般住宅或類似屋宇用的全封閉管型熔斷器之英國標準為：,BS1361,BS1363,BS1362,BS3036,A,
102,熔斷器或斷路器的主要功用是防止電路產生：,熱,火花,漏電,超額電流,D,
103,高斷熔量熔斷器瓷管內之矽沙的作用是當熔斷器熔斷時：,減低電流,減低電壓,減低振動,減低火花,D,
104,為防範過載及短路，電路可使用適當之熔斷器或：,斷路器,開關掣,隔離器,電容器,A,
105,上升總線至每層樓後的分支保護，一般採用管型熔斷器，而不用小型斷路器，其原因是：,操作較容易,價錢較便宜,熔斷器比小型斷路,一般小型斷路器並不能承受在這處發生的「預期短路電流」,D,
106,配電箱內15安培斷路器可連接5安培蘇座多少個？,0,1,2,3,A,
107,用於插座電路觸電保護的漏電斷路器，其靈敏度不可超過：,13A,3A,0.3A,0.03A,D,
108,13A環型插座電路可提供不限數目的插座，但面積不能超過：,200m²,100m²,50m²,20m²,B,
109,一個13A環型插座電路，其供電面積為100m²，過流保護裝置為30A，若用銅導體PVC絕緣的導線，其最少截面積為：,1.0mm²,1.5mm²,2.5mm²,4.0mm²,C,
110,螺紋燈座的螺紋金屬接點應接駁電路之：,相線上,中性線,保護導體,三者都不是,B,
111,一個13A放射式插座電路，其供電面積為20m²，過流保護裝置為20A，若用銅導體PVC絕緣的導線，其最少截面積為：,2.5mm²,3.4mm²,1.5mm²,1mm²,A,
112,安裝插座距離工作台不少於：,50mm,75mm,150mm,200mm,B,
113,一個13A放射式插座電路，其供電面積為50m²，過流保護裝置為30A，若用銅導體PVC絕緣的導線，其最少截面積為：,2.5mm²,3.4mm²,1.5mm²,1mm²,B,
114,最終電路以放射形電路佈線，插座的數目不受限制，保護器件最高額定值是：,13A,20A,30A,32A,D,
115,當一個環形電路內的導線發生「開路」故障時，會出現下列何種現象？,電力供應中斷,過荷,供應的電力會減少,電力供應至一半,B,
116,住宅用途或同類用途的插座應為：,機械保護,保護活門,開關掣,漏電保式,B,
117,那一項是不正確的：,每一個最終電路只能供電給一個由5A電路供電的5A插座,每一個最終電路只能供電給一個由13A電路供電的13A插座,每一個最終電路只能供電給一個由15A電路供電的15A插座,每一個最終電路只能供電給一個需要量超過3KVA之固定用電器具,B,
118,接駁至環形最終電路之有熔絲分支電路，數目不受限制，但其電量需求最高只限多少安培？,5A,13A,15A,30A,B,
119,那一種電路必須用30mA啟動電流的漏電斷路器作為保護？,任何電路,固定裝置電路,插座電路,濕度高的地方之電路,C,
120,建築地盤內所應用的插座，插頭的類型應為：,防濺式,防火式,防水浸式,有保護鐵罩式,A,
121,面對已安裝妥之15A插座，其相線應接於：,左邊,右邊,上邊,任意,B,
122,單位內空氣調節機使用13A環形插座，應安裝：,保險絲,開關掣,任意安裝,指示燈,B,
123,甚麼插座不能使用環形線路：,13A,5A,15A,工業插座,D,
124,BS1363是指：,2A插座,5A插座,13A插座,15A插座,C,
125,那幾種設備可佈置在同一電路？(i)照明(ii)插座(iii)抽氣扇(iv)空氣調節機,(i)及(ii),(ii)及(iii),(i)及(iii),(ii)及(iv),C,
126,根據《香港電燈有限公司》規定，裝修使用臨時電力供應的電錶與電力公司上升總線間：,要裝有適當的斷路器,要裝有適當的警告字句,要裝有適當的電流式漏電斷路器,無須任何裝置,C,
127,浴室不應裝有：,供電插座,照明系統,開關掣,電器用品,C,
128,浴室內的熱水器，其開關掣應安裝在：,無規定,浴室內,浴室外,配電箱附近,C,
129,臨時供電裝置用以懸掛橫過馬路之電纜，以下哪種材料不可用作支撐？,混凝土,木,鋼,膠,D,
130,浴室內於水龍頭或花灑2.5公尺內的照明燈應為：,美觀,防爆,防濺,防盜式。,C,
131,那種方法不能作基本保護：,等電位接駁,設置障礙物,設置外殼,絕緣,A,
132,若沐浴間並不設在浴室內，則插座與沐浴間的距離不得少於：,4m,3m,2.5m,1.5m,C,
133,在花灑或浴缸使用者可達到的範圍內，不可以裝設有：,任何固定電氣裝置,有指示燈的發熱電氣裝置,有開關的固定發熱電氣裝置,可觸及其發熱元件之固定電氣裝置,D,
134,燈掣離地面之高度通常為多少毫米？,1150mm,1250mm,1350mm,1450mm,C,
135,每一炊具是由專用的放射形最終電路供電，並用一個開關控制，兩者距離不可超過：,1.2m,2m,2.5m,3m,B,
136,導線在絕緣測試中所量度的數值最少為多少才算合格：,0.5Ω,0.5MΩ,1MΩ,100MΩ,C,
137,例行固定電力裝置檢查及測試，需由下列人仕負責：,業主,電力公司,機電工程署,住客,A,
138,低壓固定電力裝置的檢驗和測試，要多久便須進行一次：,一年,三個月,三年,五年,D,
139,臨時電力裝置的檢驗和測試，要多久便須進行一次：,一年,經常,六個月,九個月,B,
140,裝置安裝完成後，承辦商及註冊電業工程人員需簽發：,WR1,WR2,URI,UR2,A,
141,定期測試證明書(表格WR2)須由用戶保存以備日後查核。,機電工程署,消防署,電力公司,電業承辦商,A,
142,表格WR1簽署後應交由誰保存。,機電署,用戶,電業承辦商,註冊電業工程人員,B,
143,低壓固定電力裝置額定電流超逾多少安培時，必須最少每5年作一次定期檢查、測試及領取証書：,60A,100A,200A,400A,B,
144,工廠或工業經營內的固定裝置額定電流超逾多少安培，須最少五年作一次檢查、測試及領取證明書：,60,100,200,400,C,
145,固定電力裝置擁有人應於檢查及測驗證明書發出後幾星期內將該證明書呈交署長加簽？,2,4,5,6,A,
146,註冊電業承辦商有責任保存檢查及測試記錄最少：,2年,3年,5年,10年,C,
147,供電系統之電壓為220伏特，其絕緣測試電壓為：,500伏特交流,500伏特直流,1000伏特交流,1000伏特直流,B,
148,配電箱中，個別導體絕緣測試分別為100兆歐姆，50兆歐姆，10兆歐姆及0.1兆歐姆，其總絕緣電阻為：,100兆歐姆,50兆歐姆,0.1兆歐姆以上,0.1兆歐姆以下,D,
149,進行相極之絕緣電阻測試時，主要是量度什麼？,環形電路測試,接地極電阻測試,相極之絕緣電阻測試,電氣連續性測試,C,Q149.png
150,進行對地絕緣電阻測試時，其接線方法為：,極性測試,發熱線的連續性,接地阻抗,對地絕緣電阻測試,D,Q150.png
151,右圖正在進行那種測試？,極性測試,絕緣測試,接地故障環路,元件的連續性,A,Q151.png
152,右圖是進行甚麼測試？,電氣連續性測試,接地極電阻測試,絕緣測試,相極測試,A,
153,環形電路須由那裡開始做導體連續性測試？,配電箱,第一個插座,電路中間,最後一個,A,
154,電流式漏電斷路器應每隔多久試驗一次？,每一個月,每三個月,每半年,每一年,B,
155,大型的電氣裝置進行絕緣測試時，可以分組進行，但每組的供電點不能超過多少個？,20,50,100,200,B,
156,測試接地故障環路阻抗應用下列那種儀表：,歐姆表,阻抗表,萬用表,水氣掣試驗表,B,
157,電氣裝置的絕緣測試，其目的是確保：,所有出線口已接地,沒有過大的漏電電流,導線的電阻足夠高,導線的電阻足夠低,B,
158,測量三相系統中紅黃藍相是否正常，應用下列那種儀器：,頻率計,電壓表,相序表,功率表,C,
159,使用安培表測量電路之電流，安培表應與電路負載：,串聯,並聯,串並聯,任意接駁,A,
160,使用伏特表測量電路之電壓，伏特表應與電路負載：,串聯,並聯,串並聯,任意接駁,B,
161,若對供電系統有疑問時，應向哪裡取得資料才動工？,地政署,屋宇署,機電署,電力公司地區辦事處,D,
162,接駁電箱電線，須得誰同意？,機電署,業主,電力公司,工務局,C,
163,電力公司電錶至用戶總掣箱之間的連接，應由甚麼人士安裝及維修：,用戶,電力公司,機電工程處,業主,A,
164,電熱水器、冷氣機或大負載電流用具應選用哪種開關？,單極開關,雙極開關,光電開關,光暗開關,B,
165,雙極互連開關的作用是：,同時隔離或閉合兩極的電線,以一動作把兩極接駁至同一電源,允許開關用於直流或交流電,避免兩極短路,A,
166,下列那類器件不可用作電源隔離設備：,絕緣開關掣,光電式開關掣,消防開關掣,隔離開關掣,B,
167,如須要隔離電源進行維修電力裝置，以下那一種方法為最安全？,關上電源的開關掣及貼上警告性標誌,拔掉電路內的保險絲,關上電源,關上隔離開關,C,
168,以下那一項並不是隔離器必需要有的條件：,隔離器要有效地把帶電導線和有關電路切斷,隔離器要能抵受電路的「預期短路電流」,隔,隔離器在斷開時，各觸點的距離要符合一定的規格,B,
169,電燈開關掣可用作：,隔離器,機械性開關,過流保護,以上皆不可,D,
170,BS4568鋼燈喉彎位的內彎半徑為其外直徑幾倍：,1.5,2,2.5,4,C,
171,聚氯乙烯導管彎位的內半徑最少為其外直徑的多少倍？,2.5倍,4倍,6倍,8倍,B,
172,選擇電線所按照的規格是：,英國電機工程師學會,機電工程署,電力公司,用戶,A,
173,銅皮線90彎位的內徑不應少於銅皮線本身直徑的多少倍？,2,4,6,8,C,
174,安裝聚氯乙烯或鋼導管應每隔2個彎位或每隔多少長度直喉須安裝配線盒？,15米,20米,25米,30米,A,
175,右圖所示燈喉尺寸那項正確：,a,b,c,d,A,Q175.png
176,水平安裝的金屬喉管，其支承物的間距不能超過：,1.75m,2.0m,2.5m,3.0m,A,
177,如用作一般用途，軟導管長度不應超過：,0.5米,1米,1.5米,2米,B,
178,以下那種導管系統不適合安裝在極寒冷的溫度下：,鋁管,鋼管,塑膠管,軟金屬管,C,
179,普遍使用的燈喉直徑為：,"12mm,16mm,25mm,32mm","16mm,20mm,25mm,32mm","18mm,22mm,28mm,36mm","20mm,25mm,28mm,",B,
180,香港現時所採用的供電系統是TT系統，此系統的首個T字是代表：,電力公司的供電中性點接地,電力公司的供電中性點不接地,用戶的電氣裝置獨立接地,用戶的電氣裝置不接地,A,
181,TT系統的次個T字是代表：,電力公司的供電中性點接地,電力公司的供電中性點不接地,用戶的電氣裝置外露非帶電金屬部份獨立接,用戶的電氣裝置外露金屬部份不接地,C,
182,那一個是三相四線比三相三線較優勝的原因？,不用設置接地保護導線,此系統可構成一星點作避雷作用,此系統可滿足「TT」系統的要,系統上不平衡的電流可以經中性線回歸,D,
183,那一項是不能夠引用英國電機工程師學會的電器佈線裝置規例？i)電訊系統ii)礦場的電氣裝置iii)汽車的電機設備iv)船上的電機設備,"i,ii,iv","i,ii,iii,iv","ii,iii,iv",iii和iv,D,
184,右圖「TT」系統的「E」點應接往：,一獨立的接地極,電源中性點,圖中的「C」點,金屬水喉,A,Q184.png
185,香港電力公司所採用的供電接地系統是屬於：,TTN,TNT,TT,TTT,C,
186,由客戶總接地終端連接至電力公司變壓器接地極之等電位接駁銅導線最少截面積應為多少？,50mm²,150mm²,80mm²,90mm²,B,
187,接駁至電力公司的接地之總等電位接駁銅導線的最少截面積為：,50mm²,70mm²,80mm²,90mm²,B,
188,那類屬於非電氣裝置的金屬部份：,金屬洗手盆,電線導體,金屬配電箱,電爐的發熱線,A,
189,在佈線系統中，下列那一項不須作等電位接駁：,總水喉管,建築物的金屬部份,非電氣裝置,外露非帶電金屬部份,C,
190,線路的保護導體是用作連接：,外露非帶電金屬部份至總接地終端,電氣裝置之總接地終端至接地極,總煤氣管、水管、通風氣槽與可觸摸之金屬結構至總接地終端,兩外露非帶電金屬部份，或非電器裝置金屬部份和外露非帶電金屬部份,A,
191,接地導體是用作連接：,外露非帶電金屬部份至總接地終端,電氣裝置之總接地終端至接地極,總煤氣管、水管、通風氣槽與可觸摸之金屬結構至總接地終端,兩外露非帶電金屬部份，或非電器裝置金屬部份和外露非帶電金屬部份,B,
192,總等電位接駁導體是用作連接：,外露非帶電金屬部份至總接地終端,電氣裝置之總接地終端至接地極,總煤氣管、水管、通風氣槽與可觸摸之金屬結構至總接地終端,兩外露非帶電金屬部份，或非電器裝置金屬部份和外露非帶電金屬部份,C,
193,輔助等電位接駁導體是用作連接：,外露非帶電金屬部份至總接地終端,電氣裝置之總接地終端至接地極,總煤氣管、水管、通風氣槽與可觸摸之金屬結構至總接地終端,兩外露非帶電金屬部份，或非電器裝置金屬部份和外露非帶電金屬部份,D,
194,根據電力公司的供電條例，用戶的接地裝置是由誰負責？,電力公司,機電工程署,用戶,承辦商,C,
195,接駁至非電氣裝置的導電體之總等電位接駁銅導線截面積在任何情況下不能少於多少？,4mm²,6mm²,10mm²,16mm²,B,
196,輔助等電位接駁導線若無機械性保護其最少截面積應為多少？,1.5mm²,2.5mm²,4mm²,6mm²,C,
197,輔助等電位接駁導線若有機械性保護其最少截面積應為多少？,1.5mm²,2.5mm²,4mm²,6mm²,B,
198,在浴室內採用的輔助等電位接駁導線，若無機械性保護，不可少於：,1mm²,1.5mm²,2.5mm²,4mm²,D,
199,沒有機械性保護的獨立電路保護導線(銅)，其最少截面積為：,1.5mm²,2.5mm²,4mm²,6mm²,C,
200,那一項不能視作有效的接地極？,金屬煤氣喉,建築物鋼筋,藏於地基的接地棒,不受腐蝕的電線金屬護蓋,A,
201,哪一項不能作接地用途？,銅網,銅水管,銅棒,銅帶,B,
202,良好的接地系統應為：,高電阻,低電阻,開路,低導電性能,B,
203,直接埋於地下有絕緣皮的銅接地導體最少截面積應為多少？,10mm²,16mm²,25mm²,50mm²,B,
204,直接埋於地下之光身銅接地導體最少截面積應為多少？,10mm²,16mm²,25mm²,50mm²,C,
205,一段線槽與另一段線槽之接駁位通常應如何處理以維持良好電氣連續性？,用銅片接駁駁口兩端,用螺絲固定駁口兩端,用銼除去披鋒,用保護導體接駁駁口兩端,A,
206,假如線路相導體之截面積為4mm²，保護導體之最少截面積為：,1.5mm²,2.5mm²,4.0mm²,6.0mm²,C,
207,一般PVC銅電線的「K」值是多少？,125,115,93,76,B,
208,若用計算方法求取保護導體的截面積，可用下列那一公式：,S=I²t÷K,S=√(I²t)÷K,S=√(I²t+K),S=It²÷,B,
209,假如線路相導體之截面積為25mm²，保護導體之最少截面積為：,10mm²,16mm²,25mm²,50mm²,B,
210,假如線路相導體之截面積為50mm²，保護導體之最少截面積應為：,10mm²,16mm²,25mm²,50mm²,C,
211,銅保護導線多少平方毫米以下不能沒有絕緣膠皮？,2.5,16,25,35,A,
212,安裝大廈接地導線，沒有防腐保護最少為多少平方毫米？,16,25,50,75,B,
213,非電器裝置金屬部份需要提供等電位接駁，其作用是：,防止中性電流流進金屬部份,確保彼此的電位一樣,預防短路電流,防止接地,B,
214,單支雙膠保護導線最少要多少平方毫米？,1.5,2.5,4,6,B,
215,「水線」的另一名稱是：,黃綠線,保護導線,中性線,地線,B,
216,銅接地棒的直徑最少多少？,10mm,12.5mm,16mm,70mm,C,
217,電氣裝置接地的目的是：,接地短路故障保護,避免外露金屬部份帶電,使極性測試可以進行,避免中性導線產生電壓,A,
218,電氣用具的金屬外殼必須接地，其理由是防止甚麼情況下產生危險？,過載,漏電,過熱,火花,B,
219,電氣裝置金屬部份那一項是需要由保護導線連接至總接地終端：,非金屬附件之螺絲,物件的所有金屬外殼,個別之小件金屬，例如螺絲、鉚釘、銘牌及電線夾,用作保護非金屬外皮電纜免受機械性損壞之短截金屬管,B,
220,金屬軟電線喉管：,可用作接地用途,不可用作接地用途,不可用作機械性保護,可作為中性線用途,B,
221,在配電箱內為防止觸及電導體，應設有：,警告牌,臨時性接地措施,絕緣擋板,漏電保護裝置,C,
222,當漏電斷路器感應到有漏電時，該器件之切斷電源時間不應超過：,0.4s,4s,40s,400s,A,
223,臨時電力裝置中，經常移動之電纜應採用以下哪種？,孖支孖膠線,單膠線,銅皮電線,三芯孖膠軟線,D,
224,導體的電阻與它的截面積：,成反比,成正比,一樣,無關係,A,
225,導體的電阻與它的長度：,成反比,成正比,一樣,無關係,B,
226,軟電線支承懸吊照明器時，該電線所支承的重量不應超過：,2千克,3千克,4千克,5千克,D,
227,用0.75平方毫米軟線連接吊燈，最重負荷為多少公斤？,2公斤,3公斤,4公斤,5公斤,B,
228,導線以絞合方式製成，其主要目的是：,增強導電性能,減少電阻,增加柔軟性,容易製造,C,
229,一條7/0.85mm的PVC電線，7是代表：,電線用7號銅線,電線導體的截面積為7mm,電線用了7mm直徑的鋼線,電線內有7條,D,
230,現今香港的樓宇佈線工程，常使用的電線以甚麼絕緣物為主？,橡膠,硫化膠,氧化鎂,聚氯乙稀,D,
231,電線喉管內的電線數目不應超過其空間面積的：,0.4,0.5,0.55,0.65,A,
232,下列那種電線不適宜用於油站內的裝置？,有裝甲的PVC電線,PVC電線藏於軟金屬喉內,有PVC外套的銅皮電線,PVC電線藏於厚,B,
233,電纜的表面上刻有600/1000V電壓值，其中600V是指：,導線與導線間之耐壓值,導線與地線間之耐壓值,相線與中性線間之耐壓值,中性線與保護導線間之耐壓值,B,
